Detector Type, Dexcriptor Type, Image No., TTC Lidar, TTC Camera, Time Difference
SHITOMASI, BRISK, 1, 12.5156, 14.0745, -1.55893
SHITOMASI, BRISK, 2, 12.5156, 14.0745, -1.55893
SHITOMASI, BRISK, 3, 12.5156, 14.0745, -1.55893
SHITOMASI, BRISK, 4, 12.5156, 14.0745, -1.55893
SHITOMASI, BRISK, 5, 15.9082, 13.3604, 2.54787
SHITOMASI, BRISK, 6, 15.9082, 13.3604, 2.54787
SHITOMASI, BRISK, 7, 11.9844, 12.8554, -0.871011
SHITOMASI, BRISK, 8, 13.1241, 13.5027, -0.378561
SHITOMASI, BRISK, 9, 13.1241, 13.5027, -0.378561
SHITOMASI, BRISK, 10, 11.1746, 13.4059, -2.23125
SHITOMASI, BRISK, 11, 12.8086, 11.8507, 0.95793
SHITOMASI, BRISK, 12, 8.95978, 11.8227, -2.86293
SHITOMASI, BRISK, 13, 8.95978, 11.8227, -2.86293
SHITOMASI, BRISK, 14, 9.59863, 11.2972, -1.69854
SHITOMASI, BRISK, 15, 8.57352, 9.11578, -0.542258
SHITOMASI, BRISK, 16, 9.51617, 10.4941, -0.977928
SHITOMASI, BRISK, 17, 9.54658, 11.5895, -2.0429
SHITOMASI, BRISK, 18, 8.3988, 9.52513, -1.12633
SHITOMASI, BRIEF, 1, 12.5156, 14.1064, -1.59076
SHITOMASI, BRIEF, 2, 12.5156, 14.1064, -1.59076
SHITOMASI, BRIEF, 3, 12.5156, 14.1064, -1.59076
SHITOMASI, BRIEF, 4, 12.5156, 14.1064, -1.59076
SHITOMASI, BRIEF, 5, 15.9082, 12.2747, 3.63355
SHITOMASI, BRIEF, 6, 15.9082, 12.2747, 3.63355
SHITOMASI, BRIEF, 7, 11.9844, 20.9737, -8.98934
SHITOMASI, BRIEF, 8, 13.1241, 12.479, 0.645133
SHITOMASI, BRIEF, 9, 13.1241, 12.479, 0.645133
SHITOMASI, BRIEF, 10, 11.1746, 13.6672, -2.49254
SHITOMASI, BRIEF, 11, 12.8086, 11.6681, 1.14055
SHITOMASI, BRIEF, 12, 8.95978, 11.7642, -2.80445
SHITOMASI, BRIEF, 13, 8.95978, 11.7642, -2.80445
SHITOMASI, BRIEF, 14, 9.59863, 11.8009, -2.20227
SHITOMASI, BRIEF, 15, 8.57352, 11.2961, -2.72258
SHITOMASI, BRIEF, 16, 9.51617, 11.4542, -1.93808
SHITOMASI, BRIEF, 17, 9.54658, 11.1869, -1.64029
